id;text;homotransphobic;reappropriation
10;@user_ab io ho una faccia proprio da frocia;0;1
12;allora la situazione qui è critica perché mi trema il culo nel vedere najwa vestita da daddy o da mommy clamorosa sfondata di soldi in ogni caso una cosa è certa: sono una frocia di merda;1;1
21;Io non riesco a riprendermi dal video dei pupilli della destra frocia che cantano quel coro da stadio alla Meloni sculettante A questa trucco e parrucco + dentiera nuovi hanno dato alla testa;1;0
34;RT @user_abcde sbirdi è una nera frocia #nerafrocia #sbirdisbirdsbirsbisbs;1;0
43;queste retoriche di merda mi hanno sinceramente rotto il cazzo quasi quasi è meglio il compagno di scuola che mi da della frocia e la chiude la non sto scherzando è estenuante sentire sempre gli stessi discorsi di merda soltanto perché vi manca totalmente il pensiero critico;0;0
45;uomini cishet chiudete il cesso sulle persone trans e gay/lesbiche challenge;0;0
46;mia madre che mi dice “che film ci vediamo?” watch me mettere la cosa più frocia che trovo [URL];0;1
51;tutti noi fan della frocia in questo momento: [URL];0;0
56;Niente mi fa sentire più frocia che essere usato dagli etero arrapati, che mi usano, schizzano e se ne vanno senza nemmeno salutarmi. O sbaglio? [URL];0;1
67;@user_ab muoviti e repostaminpure frocia;1;0
101;Sto video ha contribuito a farmi frocia. [URL];0;1
122;Mi sento così frocia perché mi piace la musica italiana del vostro sanremo;0;1
125;"@user_abcdefg non l avessi già bloccata sarei curiosa di capire cosa significa ""fanatiche""per lei ahaha ma a quanto pare gli uomini possono tifare alla follia e mentre se lo fanno le donne siamo delle maleducate,se la sblocco mi dice di andare a cucinare e mi chiama frocia.";0;0
134;@user_abcde intanto tu dovresti disappendermi brutto frocio succhiacazzi;1;0
135;Ho la bocca bollente ... Voglio una frocia per me;0;0
142;massima solidarietà a #LauraBoldrini che giustamente afferma l'inadeguatezza di #GiorgiaMeloni al governo, vittima in questi giorni di continui attacchi dalla destra frocia (ovviamente non per le motivazioni citate dalla stessa).;1;0
143;@user_abcdefghi Allora posso dirti per la parte non cishet e io ho trovato un lavoro, anzi me ne sono stati offerti anche Coi capelli viola corti e visibilmente frocia. Come al solito hanno fatto speculazioni alle mie spalle ma il lavoro me lo hanno dato. Però conta che vivo a milano e+;0;1
161;stasera sono stata così pesantemente frocia che penso ormai lo sappiano tutti i miei compagni. x la me di domani mattina: amo capisci quanto è grave la situa e fai some damage control;0;1
173;@user_abcdef Perche è bella bellissima frocia mia;0;1
180;minuto 20 del primo episodio e mi è già partita a milla la ship tra leah e fatin. a volte odio essere così frocia;0;1
185;sono in uni e non riesco a non essere una frocia oggi aiutooo;0;1
194;Non hai abortito ed é nata una bambina rompicoglioni con una malattia non curabile + frocia non sei contenta mamma [URL];1;0
198;Oggi ero molto elegante e molto frocia ma nessunə ha apprezzato quindi ecco a voi [URL];0;1
199;"@user_abcdefghi Sul ""molto frocia"" non saprei perché non ho la più pallida idea di come sia il tuo linguaggio del corpo ma sul look voto ""DIESHI"" 👍🏽";0;0
200;@user_ab Ahaha penso che sia zero da frocia proprio ma grazie per il voto 😂💕;0;0
